WormBase Gene ID	Public Name	Biotype	Expr_pattern Tissue	Genomic Study Tissue	Putative match?
WBGene00018689	F52D2.7	protein_coding_gene	"Z1, Z4"	"germ line, somatic gonad precursor, Z1, Z4"	"Yes, but maybe not useful"
WBGene00019584	set-12	protein_coding_gene	"germ line, hypodermis"	"gon_male_dtc anterior, gon_male_dtc posterior, male-specific anatomical entity, Z1, Z1.p, Z4, Z4.a"	"Yes, but maybe not useful"
WBGene00019856	R03H10.4	protein_coding_gene	seminal vesicle	"germ line, male, male-specific anatomical entity"	"Yes, but maybe not useful"
WBGene00000007	aat-6	protein_coding_gene	intestine	intestine	Yes
WBGene00000029	abu-6	protein_coding_gene	pharyngeal muscle cell	pharynx	Yes
WBGene00000034	abu-11	protein_coding_gene	pharyngeal muscle cell	"pharyngeal muscle cell, pharynx"	Yes
WBGene00000040	aco-1	protein_coding_gene	"hypodermis, intestine, seam cell"	intestine	Yes
WBGene00000063	act-1	protein_coding_gene	"body wall musculature, gonad, Psub4, Z2, Z3"	"germ line, muscle cell"	Yes
WBGene00000080	adr-2	protein_coding_gene	germ line	germ line	Yes
WBGene00000081	ads-1	protein_coding_gene	intestine	"germ line, head mesodermal cell, intestine"	Yes
WBGene00000099	air-2	protein_coding_gene	"oocyte, sperm"	"germ line, head mesodermal cell"	Yes
WBGene00000148	aph-2	protein_coding_gene	oocyte	"AB, germ line, intestine"	Yes
WBGene00000172	aqp-4	protein_coding_gene	intestine	"head mesodermal cell, intestine"	Yes
WBGene00000200	arx-2	protein_coding_gene	"anchor cell, apoptotic cell, C. elegans anatomical entity, germ line, head, Q cell, seam cell, socket cell"	germ line	Yes
WBGene00000214	asp-1	protein_coding_gene	"intestinal cell, intestine"	"head mesodermal cell, intestine, pharyngeal muscle cell"	Yes
WBGene00000253	bli-3	protein_coding_gene	hypodermis	"hypodermis, somatic gonad precursor"	Yes
WBGene00000264	brc-1	protein_coding_gene	germ line	"germ line, gon_male_dtc anterior, gon_male_dtc posterior, Z1.p, Z4.a"	Yes
WBGene00000265	brd-1	protein_coding_gene	germ line	"germ line, gon_male_dtc anterior, gon_male_dtc posterior, head mesodermal cell, Z1.p, Z4.a"	Yes
WBGene00000372	cyp-13A7	protein_coding_gene	intestine	intestine	Yes
WBGene00000386	cdc-25.1	protein_coding_gene	"embryonic cell, germ line, oocyte, sperm, Z2, Z3"	"cephalic sheath cell, germ line, germline precursor cell, intestine, somatic gonad precursor"	Yes
WBGene00000411	cdl-1	protein_coding_gene	"Cell, germ line"	"germ line, somatic gonad precursor"	Yes
WBGene00000413	cdt-1	protein_coding_gene	"anchor cell, germ line, vulD"	"germ line, gon_male_dtc anterior, gon_male_dtc posterior, somatic gonad precursor, Z1.p, Z4.a"	Yes
WBGene00000423	ced-9	protein_coding_gene	"Cell, gonad"	germ line	Yes
WBGene00000425	ced-11	protein_coding_gene	"apoptotic cell, head, hypodermis, tail"	"hypodermis, muscle cell"	Yes
WBGene00000498	chk-1	protein_coding_gene	germ line	"germ line, gon_male_dtc anterior, gon_male_dtc posterior, Z1.p, Z4.a"	Yes
WBGene00000503	cht-1	protein_coding_gene	gonad	"AB, germ line"	Yes
WBGene00000539	cln-3.1	protein_coding_gene	"cuticle, diagonal muscle, hypodermis, int2D, int2V, int3D embryonic, int3V embryonic, int4D embryonic, int4V embryonic, int5L embryonic, int5R embryonic, int6L embryonic, int6R embryonic, int7L embryonic, int7R embryonic, int8L embryonic, int8R embryonic, intestinal muscle, intestine, pharynx"	"body wall musculature, intestine, pharynx"	Yes
WBGene00000543	clp-2	protein_coding_gene	"head, hypodermis, intestinal cell, intestine, muscle cell, tail"	"germ line, intestine"	Yes
WBGene00000695	col-121	protein_coding_gene	hyp7 syncytium	hypodermis	Yes
WBGene00000717	col-144	protein_coding_gene	hypodermis	hypodermis	Yes
WBGene00000795	crn-2	protein_coding_gene	"head, intestine, tail"	"germ line, intestine, somatic gonad precursor"	Yes
WBGene00000804	csc-1	protein_coding_gene	oocyte	"germ line, gon_male_dtc anterior, gon_male_dtc posterior, head mesodermal cell, seam cell, Z1.p, Z4.a"	Yes
WBGene00000814	csn-2	protein_coding_gene	"head, pharynx"	"body wall muscle cell, germ line, intestine, muscle cell, somatic gonad precursor"	Yes
WBGene00000839	cul-4	protein_coding_gene	"embryonic cell, germ line, gonad, intestine, oocyte"	germ line	Yes
WBGene00000865	cyb-1	protein_coding_gene	"germ cell, male gonad, oocyte"	"CEPshDL, CEPshDR, CEPshVL, CEPshVR, germ line, somatic gonad precursor"	Yes
WBGene00000866	cyb-2.1	protein_coding_gene	germ line	"cephalic sheath cell, germ line, germline precursor cell, head mesodermal cell, pharyngeal muscle cell"	Yes
WBGene00000930	dao-4	protein_coding_gene	"hyp7 syncytium, seam cell"	"amphid sheath cell, hypodermis"	Yes
WBGene00000967	dhs-3	protein_coding_gene	intestinal cell	"head mesodermal cell, intestine"	Yes
WBGene00000996	dif-1	protein_coding_gene	"hypodermis, intestine"	"germ line, intestine, muscle cell, somatic gonad precursor"	Yes
WBGene00001000	dim-1	protein_coding_gene	body wall musculature	"body wall musculature, germ line, muscle cell"	Yes
WBGene00001002	div-1	protein_coding_gene	"distal tip cell, gonadal sheath cell, pharynx, somatic gonad, spermatheca, vulva, vulval precursor cell"	germ line	Yes
WBGene00001016	dna-2	protein_coding_gene	"gonad, oocyte, spermatheca, uterus"	"germ line, germline precursor cell, gon_male_dtc anterior, gon_male_dtc posterior, hypodermis, Z1.p, Z4.a"	Yes
WBGene00001028	dnj-10	protein_coding_gene	"head, intestine, pharynx, tail"	"body wall muscle cell, germ line, intestine"	Yes
WBGene00001046	dnj-28	protein_coding_gene	"head, hypodermis, intestine, tail"	"germ line, germline precursor cell, head mesodermal cell, hypodermis, intestine"	Yes
WBGene00001069	dpy-7	protein_coding_gene	"cuticle, hyp10, hyp5, hyp6, hyp7 syncytium, hypodermis, P1, P10, P11, P12, P2, P3, P4, P5, P6, P7, P8, P9, seam cell"	"hypodermis, intestine, male-specific anatomical entity"	Yes
WBGene00001087	dpy-28	protein_coding_gene	germ line	"germ line, somatic gonad precursor"	Yes
WBGene00001099	dsc-4	protein_coding_gene	intestine	"head mesodermal cell, intestine, pharyngeal muscle cell"	Yes
WBGene00001153	ech-4	protein_coding_gene	"hypodermis, intestine"	"intestine, muscle cell, pharynx"	Yes
WBGene00001214	ego-1	protein_coding_gene	germ line	"germ line, germline precursor cell"	Yes
WBGene00001236	elc-1	protein_coding_gene	"hypodermis, intestine, pharynx, vulval muscle"	intestine	Yes
WBGene00001239	elo-1	protein_coding_gene	"anal depressor muscle, body wall musculature, hypodermis, intestine, mu_int_L, mu_int_R, pharynx, rectal gland cell"	"germline precursor cell, intestine, somatic gonad precursor"	Yes
WBGene00001328	epi-1	protein_coding_gene	"anal depressor muscle, basal lamina, body wall musculature, Cell, gonad, intestine, vulva, vulval muscle"	"body wall muscle cell, body wall musculature, head mesodermal cell, muscle cell"	Yes
WBGene00001398	fat-6	protein_coding_gene	"hypodermis, intestine"	"intestine, pharyngeal muscle cell"	Yes
WBGene00001399	fat-7	protein_coding_gene	intestine	intestine	Yes
WBGene00001401	fbf-1	protein_coding_gene	germ line	"germ line, germline precursor cell, head mesodermal cell, hermaphrodite-specific anatomical entity"	Yes
WBGene00001402	fbf-2	protein_coding_gene	germ line	"germ line, germline precursor cell, Psub1"	Yes
WBGene00001413	fem-3	protein_coding_gene	"germ line, male, spermatid"	"cephalic sheath cell, germ line, germline precursor cell, gon_male_dtc anterior, gon_male_dtc posterior, head mesodermal cell, Z1.p, Z4.a"	Yes
WBGene00001430	fkb-5	protein_coding_gene	hypodermis	"germ line, head mesodermal cell, hypodermis, male-specific anatomical entity, muscle cell"	Yes
WBGene00001438	fkh-6	protein_coding_gene	"gonad, gonadal sheath cell, hermaphrodite, male, male gonad, somatic gonad precursor, spermatheca, Z1, Z4"	"germ line, gon_male_dtc anterior, gon_male_dtc posterior, male-specific anatomical entity, somatic gonad precursor, Z1, Z1.p, Z4, Z4.a"	Yes
WBGene00001465	flr-1	protein_coding_gene	intestine	intestine	Yes
WBGene00001481	fog-1	protein_coding_gene	germ line	"germ line, germline precursor cell, head mesodermal cell"	Yes
WBGene00001483	fog-3	protein_coding_gene	germ line	"germ line, germline precursor cell, male"	Yes
WBGene00001506	fut-2	protein_coding_gene	intestinal cell	"head mesodermal cell, intestine"	Yes
WBGene00001511	fzy-1	protein_coding_gene	germ cell	"germ line, hypodermis"	Yes
WBGene00001513	gad-1	protein_coding_gene	germ line	"germ line, germline precursor cell"	Yes
WBGene00001569	meg-3	protein_coding_gene	"Cell, germ cell, oocyte"	"germ line, hypodermis, pharyngeal muscle cell, Z1, Z4"	Yes
WBGene00001578	ges-1	protein_coding_gene	"intestine, pharynx"	"head mesodermal cell, intestine, pharyngeal muscle cell"	Yes
WBGene00001583	gfi-3	protein_coding_gene	"germ line, intestine, sperm"	"germ line, hypodermis, intestine"	Yes
WBGene00001599	glh-2	protein_coding_gene	"germ line, gonad"	"germ line, germline precursor cell, head mesodermal cell"	Yes
WBGene00001600	glh-3	protein_coding_gene	gonad	"germ line, germline precursor cell, head mesodermal cell"	Yes
WBGene00001603	gln-2	protein_coding_gene	germ line	"germ line, male"	Yes
WBGene00001625	glt-7	protein_coding_gene	excretory canal	"excretory cell, somatic gonad precursor"	Yes
WBGene00001644	gly-19	protein_coding_gene	"anal sphincter muscle, intestine"	"head mesodermal cell, intestine"	Yes
WBGene00001683	gpd-1	protein_coding_gene	germ line	"germ line, germline precursor cell"	Yes
WBGene00001686	gpd-4	protein_coding_gene	germ line	"germ line, germline precursor cell"	Yes
WBGene00001701	grd-12	protein_coding_gene	"head, hypodermis, intestine, rectal epithelium, reproductive system, tail, vulC, vulva"	"intestine, somatic gonad precursor"	Yes
WBGene00001730	grl-21	protein_coding_gene	"arcade cell, hypodermis"	"germline precursor cell, hermaphrodite-specific anatomical entity, hypodermis"	Yes
WBGene00001813	haf-3	protein_coding_gene	"intestine, spermatheca"	"germ line, germline precursor cell, intestine"	Yes
WBGene00001814	haf-4	protein_coding_gene	intestine	"head mesodermal cell, intestine"	Yes
WBGene00001828	hch-1	protein_coding_gene	"hypodermis, seam cell"	"germ line, hypodermis"	Yes
WBGene00001862	him-3	protein_coding_gene	"oocyte, spermatocyte"	"germ line, germline precursor cell, head mesodermal cell, hypodermis, pharyngeal muscle cell"	Yes
WBGene00001864	him-5	protein_coding_gene	gonad	"germ line, germline precursor cell, head mesodermal cell"	Yes
WBGene00001872	him-14	protein_coding_gene	"embryonic cell, gonad"	"germ line, head mesodermal cell, Psub1"	Yes
WBGene00001952	hlh-6	protein_coding_gene	Pharyngeal gland cell	pharynx	Yes
WBGene00001973	hmg-3	protein_coding_gene	"germ line, gonad"	"germ line, germline precursor cell, head mesodermal cell, hypodermis, pharyngeal muscle cell"	Yes
WBGene00001984	hog-1	protein_coding_gene	rectal epithelium	"germline precursor cell, hypodermis, somatic gonad precursor"	Yes
WBGene00002044	hyl-2	protein_coding_gene	"head, hypodermis, intestine, tail, terminal bulb"	intestine	Yes
WBGene00002054	ifb-2	protein_coding_gene	intestine	"body wall musculature, germ line, head mesodermal cell, intestine, pharyngeal muscle cell"	Yes
WBGene00002057	ifd-1	protein_coding_gene	intestine	"germ line, head mesodermal cell, intestine, pharyngeal muscle cell"	Yes
WBGene00002059	ife-1	protein_coding_gene	"germ line, gonad, oocyte, primary spermatocyte, secondary spermatocyte"	"germ line, germline precursor cell, intestine, muscle cell, somatic gonad precursor"	Yes
WBGene00002064	iff-1	protein_coding_gene	"germ line, gonad"	"germ line, germline precursor cell, intestine"	Yes
WBGene00002068	ify-1	protein_coding_gene	"germ cell, germ line"	"germ line, germline precursor cell, male-specific anatomical entity"	Yes
WBGene00002110	ins-27	protein_coding_gene	"body wall musculature, distal tip cell, head muscle, hypodermis, intestinal muscle, vulval muscle"	"body wall muscle cell, head mesodermal cell"	Yes
WBGene00002200	kin-16	protein_coding_gene	"hyp6, hyp7 syncytium"	hypodermis	Yes
WBGene00002225	klp-15	protein_coding_gene	"germ line, hypodermis"	"germ line, germline precursor cell, head mesodermal cell"	Yes
WBGene00002226	klp-16	protein_coding_gene	"AB, ABa, ABp, EMS, germ line, head, P0, Psub1, Psub2"	"germ line, germline precursor cell"	Yes
WBGene00002228	klp-18	protein_coding_gene	"germ line, Z2, Z3"	"germ line, germline precursor cell, head mesodermal cell"	Yes
WBGene00002229	klp-19	protein_coding_gene	germ line	germ line	Yes
WBGene00002244	laf-1	protein_coding_gene	germ line	germ line	Yes
WBGene00002247	lam-1	protein_coding_gene	"intestine, pharynx"	"body wall muscle cell, head mesodermal cell, intestine, pharynx"	Yes
WBGene00002497	let-268	protein_coding_gene	"body wall musculature, GLR"	"body wall muscle cell, germ line, head mesodermal cell, hermaphrodite-specific anatomical entity, muscle cell"	Yes
WBGene00003036	lin-53	protein_coding_gene	"Cell, germ cell, head, hypodermis, P3.p hermaphrodite, P4.p hermaphrodite, P5.p hermaphrodite, P6.p hermaphrodite, P7.p hermaphrodite, P8.p hermaphrodite, tail"	"germ line, somatic gonad precursor"	Yes
WBGene00003055	lon-1	protein_coding_gene	"head, hypodermis, intestinal cell, intestine, tail"	"hypodermis, intestine, somatic gonad precursor"	Yes
WBGene00003155	mcm-3	protein_coding_gene	germ line	"germ line, head mesodermal cell"	Yes
WBGene00003161	mdf-2	protein_coding_gene	germ line	"germ line, head mesodermal cell"	Yes
WBGene00003214	mel-32	protein_coding_gene	"hypodermis, intestine, seam cell"	"germline precursor cell, intestine, somatic gonad precursor"	Yes
WBGene00003220	mes-2	protein_coding_gene	"germ line, hypodermis, intestine, Z2, Z3"	"germ line, germline precursor cell"	Yes
WBGene00003222	mes-4	protein_coding_gene	"germ line, hypodermis, Z2, Z3"	"germ line, gon_male_dtc anterior, gon_male_dtc posterior, hypodermis, somatic gonad precursor, Z1.p, Z4.a"	Yes
WBGene00003224	mes-6	protein_coding_gene	"germ line, intestinal cell, oocyte, reproductive system, spermatheca, Z2, Z3"	germ line	Yes
WBGene00003228	mex-1	protein_coding_gene	"C, D, EMS, germ line, gonad, oocyte, P0, Psub1, Psub2, Psub3, Psub4"	"germ line, germline precursor cell, head mesodermal cell"	Yes
WBGene00003229	mex-3	protein_coding_gene	"AB, ABa, ABp, distal tip cell, embryonic cell, EMS, germ line, oocyte, P0, Psub1, Psub2, Psub3, Psub4"	"AB, germ line, somatic gonad precursor"	Yes
WBGene00003235	mif-2	protein_coding_gene	"body wall musculature, hypodermis, vulval muscle"	"hypodermis, intestine"	Yes
WBGene00003253	mig-22	protein_coding_gene	"anterior distal tip cell, oocyte, pharynx, posterior distal tip cell, seam cell, vulva"	"coelomocyte, germ line"	Yes
WBGene00003258	cogc-1	protein_coding_gene	germ line	germ line	Yes
WBGene00003369	mlc-1	protein_coding_gene	"anal depressor muscle, body wall musculature, pharyngeal muscle cell, pharynx, vulval muscle"	"body wall muscle cell, intestine, muscle cell"	Yes
WBGene00003370	mlc-2	protein_coding_gene	"body wall musculature, pharyngeal muscle cell, pharynx, vulval muscle"	"body wall musculature, head mesodermal cell, intestine, muscle cell, Psub1"	Yes
WBGene00003410	mrp-4	protein_coding_gene	intestine	"germ line, hypodermis, intestine, pharyngeal muscle cell"	Yes
WBGene00003424	msp-3	protein_coding_gene	"hermaphrodite gonad, linker cell, male gonad, oocyte, sperm, spermatheca, spermatid, spermatocyte, uterus"	"amphid sheath cell, germ line, male, male-specific anatomical entity"	Yes
WBGene00003425	msp-10	protein_coding_gene	"hermaphrodite gonad, male gonad, oocyte, sperm, spermatheca, uterus"	"amphid sheath cell, germ line, male-specific anatomical entity"	Yes
WBGene00003426	msp-19	protein_coding_gene	"hermaphrodite gonad, male gonad, oocyte, sperm, spermatheca, uterus"	"amphid sheath cell, germ line, male"	Yes
WBGene00003429	msp-31	protein_coding_gene	"hermaphrodite gonad, male gonad, oocyte, sperm, spermatheca, uterus"	"amphid sheath cell, germ line, male, male-specific anatomical entity, seam cell"	Yes
WBGene00003430	msp-32	protein_coding_gene	"hermaphrodite gonad, male gonad, oocyte, sperm, spermatheca, uterus"	germ line	Yes
WBGene00003431	msp-33	protein_coding_gene	"hermaphrodite gonad, male gonad, oocyte, sperm, spermatheca, uterus"	"amphid sheath cell, germ line, intestine, male, male-specific anatomical entity"	Yes
WBGene00003432	msp-36	protein_coding_gene	"hermaphrodite gonad, male gonad, oocyte, sperm, spermatheca, uterus"	"amphid sheath cell, germ line, male, male-specific anatomical entity"	Yes
WBGene00003434	msp-38	protein_coding_gene	"hermaphrodite gonad, male gonad, oocyte, sperm, spermatheca, uterus"	"amphid sheath cell, germ line"	Yes
WBGene00003435	msp-40	protein_coding_gene	"hermaphrodite gonad, male gonad, oocyte, sperm, spermatheca, uterus"	"amphid sheath cell, hypodermis, male, male-specific anatomical entity"	Yes
WBGene00003437	msp-42	pseudogene	"hermaphrodite gonad, male gonad, oocyte, sperm, spermatheca, uterus"	male	Yes
WBGene00003442	msp-49	protein_coding_gene	"hermaphrodite gonad, male gonad, oocyte, sperm, spermatheca, uterus"	"amphid sheath cell, arcade cell, germ line, male, pharyngeal-intestinal valve cell"	Yes
WBGene00003443	msp-50	protein_coding_gene	"hermaphrodite gonad, male gonad, oocyte, sperm, spermatheca, uterus"	"amphid sheath cell, germ line, male, male-specific anatomical entity"	Yes
WBGene00003449	msp-56	protein_coding_gene	"hermaphrodite gonad, male gonad, oocyte, sperm, spermatheca, uterus"	"germ line, male-specific anatomical entity"	Yes
WBGene00003507	mut-14	protein_coding_gene	"germ cell, germ line"	"germ line, germline precursor cell, gon_male_dtc anterior, gon_male_dtc posterior, somatic gonad precursor, Z1, Z1.p, Z4, Z4.a"	Yes
WBGene00003508	mut-16	protein_coding_gene	"Cell, germ cell, germ line, somatic cell"	germ line	Yes
WBGene00003528	nas-9	protein_coding_gene	"hyp7 syncytium, hypodermis, spermatheca, uterus"	"hypodermis, muscle cell"	Yes
WBGene00003552	nas-36	protein_coding_gene	"hyp1, hyp10, hyp11, hyp12, hyp2, hyp3, hyp4, hyp5, hyp6, hyp7 syncytium, hyp8, hyp9, seam cell, vulva"	hypodermis	Yes
WBGene00003567	ncx-2	protein_coding_gene	"body wall musculature, intestinal muscle, isthmus, metacorpus, pharyngeal muscle cell, procorpus, terminal bulb, vulval muscle"	"body wall musculature, muscle cell, pharynx"	Yes
WBGene00003577	ndg-4	protein_coding_gene	"hyp1, hyp10, hyp11, hyp12, hyp2, hyp3, hyp4, hyp5, hyp6, hyp7 syncytium, hyp8, hyp9, intestine"	intestine	Yes
WBGene00003612	nhr-13	protein_coding_gene	intestine	"germ line, intestine, muscle cell, somatic gonad precursor"	Yes
WBGene00003628	nhr-35	protein_coding_gene	intestine	"intestine, somatic gonad precursor"	Yes
WBGene00003704	nhr-114	protein_coding_gene	"germ line, hypodermis, intestine"	"intestine, Psub1, somatic gonad precursor"	Yes
WBGene00003717	nhr-127	protein_coding_gene	seam cell	hypodermis	Yes
WBGene00003730	nhx-2	protein_coding_gene	intestine	"head mesodermal cell, intestine, pharyngeal muscle cell"	Yes
WBGene00003785	nos-3	protein_coding_gene	"germ line, Psub1, Psub2, Psub3, Psub4, Z2, Z3"	germ line	Yes
WBGene00003845	odd-1	protein_coding_gene	"Ealaa, Earaa, Eplpp, Eprpp, int2D, int2V, int3D embryonic, int3V embryonic, int4D embryonic, int4V embryonic, int5L embryonic, int5R embryonic, int6L embryonic, int6R embryonic, int7L embryonic, int7R embryonic, intestine"	intestine	Yes
WBGene00003887	osm-7	protein_coding_gene	hypodermis	"germline precursor cell, hypodermis, somatic gonad precursor"	Yes
WBGene00003933	pat-9	protein_coding_gene	"body wall musculature, gonad"	"body wall muscle cell, hypodermis, muscle cell"	Yes
WBGene00003939	pax-3	protein_coding_gene	"AB lineage cell, E lineage cell, Earp, embryonic cell, Eprp, hermaphrodite gonad, hyp4, hyp6, hyp7 syncytium, P1, P1/2L, P10, P2, P3/4L, P5, P5/6L, P6, P7, P7/8L, P8, P9, P9/10L, PHBL, PVQL, sex myoblast, tail, TL, V3L, vulF"	hypodermis	Yes
WBGene00003943	pbo-4	protein_coding_gene	intestine	"head mesodermal cell, intestine"	Yes
WBGene00003955	pcn-1	protein_coding_gene	germ line	"germ line, intestine"	Yes
WBGene00003956	pcp-1	protein_coding_gene	intestine	"head mesodermal cell, intestine"	Yes
WBGene00003960	pcs-1	protein_coding_gene	"anal sphincter muscle, body wall musculature, coelomocyte, hypodermis, pharyngeal-intestinal valve, pharynx, rectal valve cell, virL, virR, vulval muscle"	"body wall muscle cell, germ line, germline precursor cell, intestine, muscle cell"	Yes
WBGene00003982	pes-9	protein_coding_gene	"hypodermis, intestine"	intestine	Yes
WBGene00003991	pfn-3	protein_coding_gene	"body wall musculature, intestine, rectal gland cell"	"body wall muscle cell, head mesodermal cell, muscle cell"	Yes
WBGene00003993	pgl-2	protein_coding_gene	germ line	"germ line, germline precursor cell"	Yes
WBGene00003999	pgp-5	protein_coding_gene	intestine	"intestine, male-specific anatomical entity"	Yes
WBGene00004004	pgp-10	protein_coding_gene	"hypodermis, intestine"	"germ line, hypodermis, male-specific anatomical entity"	Yes
WBGene00004016	phf-5	protein_coding_gene	"body wall musculature, intestine, pharyngeal muscle cell, pharynx, rectal muscle"	"germ line, intestine, muscle cell"	Yes
WBGene00004026	phy-3	protein_coding_gene	spermatheca	germ line	Yes
WBGene00004042	plk-1	protein_coding_gene	"AB, embryonic cell, germ line, oocyte"	germ line	Yes
WBGene00004043	plk-2	protein_coding_gene	germ line	"germ line, germline precursor cell, head mesodermal cell"	Yes
WBGene00004113	pqn-24	protein_coding_gene	head muscle	"head mesodermal cell, muscle cell"	Yes
